factor_sharpe,factor_skew,factor
0.4338103201690969,0.3783403869287441,market_return
0.31798216244598865,2.191422012135271,HML
0.6931528128064123,0.21586843881076398,accurals
0.6432382703748599,-0.5245142645814543,short_term_reversal
0.22559588961544766,-0.8967685240519577,value
0.2669107100943653,5.096380676732172,size
0.35563930295999774,-4.930460320508955,seasonality
0.9741380987701457,0.8776578568097724,debt_issuance
0.240614177304189,0.08268894768609533,profitability
0.37980524778268243,2.6441811729155233,investment
0.21076882598068813,-6.638989271995403,quality
0.08433799354499065,1.5515674774263295,low_leverage
0.05925497258993669,-1.0009075095742823,low_risk
0.27644661633005935,-3.6234622018584584,momentum
0.4071887985146252,-5.590225292731052,profit_growth
